BEA_Summary,BEA_Detail,DnB_Share_RoUS,X_Share_US,alpha_RoUS,RoUS_Share_Used,DetailedOutput_CA_RoUS,D_cal_RoUS,RoUS_Direct_Emissions,RoUS_Output_Weight,RoUS_Emissions_Weight
111CA,1111A0,0.009088538230544183,0.09662216828478964,0.2,0.07911544227394056,39463984849.666725,0.7481268052925468,29524064909.694637,0.07911544227394054,0.0492667341688331
111CA,1111B0,0.10172960977807034,0.14633394012944984,0.2,0.13741307405917394,68543729478.75922,1.4618693120518798,100201974658.5839,0.13741307405917394,0.16720678754081705
111CA,111200,0.032427591832679695,0.04754500404530744,0.2,0.04452152160278189,22208011527.416092,0.8349778297795928,18543197268.88207,0.04452152160278189,0.030942987467361373
111CA,111300,0.05000082104360814,0.07572815533980583,0.2,0.07058268848056629,35207717593.24801,0.513768191170768,18088605383.134254,0.07058268848056629,0.03018441111078752
111CA,111400,0.07335200243408876,0.05023260517799353,0.2,0.05485648462921258,27363248135.772503,0.5180684892612258,14176036622.979715,0.05485648462921258,0.023655517287616192
111CA,111900,0.32489788808503095,0.06719002831715211,0.2,0.11873160027072788,59225126468.18717,0.9766093688665433,57839813381.13748,0.11873160027072789,0.09651715368257835
111CA,112120,0.08254749839322383,0.0974463996763754,0.2,0.09446661941974509,47121385287.48401,1.7272832451589162,81391979295.749,0.09446661941974509,0.1358185947532625
111CA,1121A0,0.08811052250448247,0.22261579692556635,0.2,0.1957147420413496,97625487424.22083,2.2292466515756497,217631290948.88498,0.19571474204134962,0.36316079749838165
111CA,112300,0.1271757066817636,0.11267951051779936,0.2,0.11557874975059221,57652436717.82118,0.11772491309187036,6787128102.140055,0.11557874975059221,0.011325663894884359
111CA,112A00,0.11066982101650803,0.08360639158576051,0.2,0.08901907747191001,44404068582.700836,1.2405549859829121,55085688678.19671,0.08901907747191001,0.09192135259547787
113FF,113000,0.12679376761310873,0.35215436493068564,0.2,0.3070822454671703,13258795739.768974,0.15274016826226536,2025150692.2473202,0.3070822454671703,0.28691834215134226
113FF,114000,0.012505597112246665,0.16736605470213564,0.2,0.13639396318415783,5889040231.697973,0.1273379778089198,749898474.3397925,0.13639396318415783,0.10624376144603362
113FF,115000,0.8607006352746446,0.4804795803671787,0.2,0.5565237913486719,24028856707.71451,0.1782537268424303,4283233259.9128413,0.5565237913486719,0.6068378964026241
211,211000,1.0,1.0,0.2,1.0,638976517000.158,0.3064901643495693,195840017710.8938,1.0,1.0
212,212100,0.2039062430263711,0.36246710913875035,0.2,0.33075493591627453,42890117410.91977,1.09023946185194,46760498524.847694,0.33075493591627453,0.7519720233905789
212,212230,0.30188862536806216,0.13366453285158858,0.2,0.1673093513548833,21695572595.69437,0.07516388193103575,1630723457.0089865,0.1673093513548833,0.026224237470563225
